word,happiness_average,happiness_rank,happiness_standard_deviation
quest,6.22,1992,1.4609
restoration,6.22,1993,1.3445
seventeen,6.22,1994,1.5425
social,6.22,1995,1.0359
styles,6.22,1996,1.016
supports,6.22,1997,1.5292
tech,6.22,1998,1.3293
thai,6.22,1999,1.3596
thoughts,6.22,2000,1.5425
today,6.22,2001,1.4469
transformation,6.22,2002,1.2982
treaty,6.22,2003,1.3293
tribute,6.22,2004,1.3596
aesthetic,6.21,2005,1.5839
upside,6.21,2006,1.3832
behold,6.2,2007,1.4574
dough,6.2,2008,1.4574
sands,6.2,2009,1.5135
3-bedroom,6.2,2010,1.2617
actor,6.2,2011,1.3553
agreements,6.2,2012,1.5649
arise,6.2,2013,1.1249
assured,6.2,2014,1.5649
bubble,6.2,2015,1.5518
cereal,6.2,2016,1.3997
definitely,6.2,2017,1.4142
dime,6.2,2018,1.3553
engage,6.2,2019,1.3401
erected,6.2,2020,1.4846
estate,6.2,2021,1.666
ethical,6.2,2022,1.3702
everybody,6.2,2023,1.2122
faces,6.2,2024,1.4569
feeds,6.2,2025,1.4708
haircut,6.2,2026,1.5119
halo,6.2,2027,1.807
jacket,6.2,2028,1.1249
joining,6.2,2029,1.1066
kingdom,6.2,2030,1.3248
lifted,6.2,2031,1.2289
listened,6.2,2032,1.2778
meat,6.2,2033,2.1381
menu,6.2,2034,1.2936
nurse,6.2,2035,1.2617
opening,6.2,2036,0.9258
pension,6.2,2037,2.0
phd,6.2,2038,1.5119
phones,6.2,2039,1.4286
plans,6.2,2040,1.0102
premier,6.2,2041,1.0498
proposals,6.2,2042,1.6903
protein,6.2,2043,1.3093
providence,6.2,2044,1.7496
recommendations,6.2,2045,1.4142
sexual,6.2,2046,1.4569
soda,6.2,2047,1.7379
spain,6.2,2048,1.6903
stable,6.2,2049,1.3702
succession,6.2,2050,1.2936
supporters,6.2,2051,1.5779
taco,6.2,2052,1.7496
think,6.2,2053,1.2936
trading,6.2,2054,1.2454
upward,6.2,2055,1.5119
yields,6.2,2056,1.4286
sailor,6.19,2057,1.2272
dynamics,6.19,2058,1.3153
lyrical,6.19,2059,1.5527
copper,6.18,2060,1.603
realise,6.18,2061,1.2529
righteous,6.18,2062,1.822
transformed,6.18,2063,1.1488
venus,6.18,2064,1.5636
80s,6.18,2065,1.7106
advocates,6.18,2066,1.4665
aha,6.18,2067,1.2567
ate,6.18,2068,1.4525
atlantic,6.18,2069,1.207
awareness,6.18,2070,1.2887
balance,6.18,2071,1.6123
blonde,6.18,2072,1.5996
burger,6.18,2073,2.3008
buyer,6.18,2074,1.1551
certificate,6.18,2075,1.1373
chances,6.18,2076,1.0437
chief,6.18,2077,1.1551
clearly,6.18,2078,1.1192
cultural,6.18,2079,1.1551
draws,6.18,2080,1.32
driving,6.18,2081,1.6499
duck,6.18,2082,1.3952
eagle,6.18,2083,1.8811
emotions,6.18,2084,1.7106
established,6.18,2085,1.1726
experiments,6.18,2086,1.5996
expression,6.18,2087,1.3045
fishing,6.18,2088,1.826
fri,6.18,2089,2.0572
fully,6.18,2090,1.2237
informed,6.18,2091,1.3354
initiated,6.18,2092,1.3805
italy,6.18,2093,1.4665
king,6.18,2094,1.5609
land,6.18,2095,1.3354
lion,6.18,2096,1.6123
miami,6.18,2097,1.746
midnight,6.18,2098,1.4241
mineral,6.18,2099,1.0039
nomination,6.18,2100,1.207
oak,6.18,2101,1.4665
occasions,6.18,2102,1.5077
philosophical,6.18,2103,1.3805
playlist,6.18,2104,1.6123
profound,6.18,2105,1.5477
provided,6.18,2106,1.1899
resolution,6.18,2107,1.2887
riding,6.18,2108,1.3952
safety,6.18,2109,1.7343
scientist,6.18,2110,1.2887
she,6.18,2111,1.5868
sight,6.18,2112,0.9833
spice,6.18,2113,1.7225
steady,6.18,2114,1.3354
survey,6.18,2115,1.5077
swiss,6.18,2116,1.6499
t-shirt,6.18,2117,1.4384
tiger,6.18,2118,1.746
tomorrow,6.18,2119,1.3805
tourist,6.18,2120,1.4241
tournament,6.18,2121,1.3805
trade,6.18,2122,1.0039
trains,6.18,2123,1.32
tune,6.18,2124,1.4241
victor,6.18,2125,1.7225
walking,6.18,2126,1.5609
wireless,6.18,2127,1.5996
www,6.18,2128,1.5609
yea,6.18,2129,1.6744
beds,6.17,2130,1.7177
preference,6.17,2131,0.9964
applying,6.16,2132,1.1609
crop,6.16,2133,1.2474
enable,6.16,2134,1.1963
interactions,6.16,2135,1.1609
narrative,6.16,2136,1.241
railway,6.16,2137,1.3439
afford,6.16,2138,1.2349
allowing,6.16,2139,1.0947
automobile,6.16,2140,1.3756
bands,6.16,2141,1.4619
boys,6.16,2142,1.2349
cds,6.16,2143,1.2014
christ,6.16,2144,2.3067
dictionary,6.16,2145,1.5696
downloads,6.16,2146,1.1314
eagles,6.16,2147,1.4479
engaged,6.16,2148,1.9625
especially,6.16,2149,1.0174
fiction,6.16,2150,1.4337
grocery,6.16,2151,1.7304
hotel,6.16,2152,1.5954
houses,6.16,2153,1.6333
hubby,6.16,2154,1.7186
included,6.16,2155,1.2993
lemon,6.16,2156,1.3456
mellow,6.16,2157,1.5301
minds,6.16,2158,1.2349
my,6.16,2159,1.2835
own,6.16,2160,1.9205
pacific,6.16,2161,1.1843
people,6.16,2162,1.5826
planning,6.16,2163,1.4619
polish,6.16,2164,1.3903
premium,6.16,2165,1.4479
providing,6.16,2166,1.2014
readers,6.16,2167,1.2349
rocked,6.16,2168,1.4479
sausage,6.16,2169,1.8223
south,6.16,2170,1.6081
transportation,6.16,2171,1.6826
turkey,6.16,2172,1.8111
wed,6.16,2173,1.8223
wheels,6.16,2174,1.2182
woods,6.16,2175,1.3303
yacht,6.16,2176,1.3607
livin,6.15,2177,1.5977
believing,6.14,2178,1.5275
chemistry,6.14,2179,1.3994
continuous,6.14,2180,1.1365
persons,6.14,2181,1.2748
seed,6.14,2182,1.3844
sheep,6.14,2183,1.5411
successive,6.14,2184,1.4142
adult,6.14,2185,1.3403
amsterdam,6.14,2186,1.4984
arises,6.14,2187,1.1068
arrived,6.14,2188,1.3999
asleep,6.14,2189,1.7498
aviation,6.14,2190,1.3403
basketball,6.14,2191,2.0899
browser,6.14,2192,1.0304
cathedral,6.14,2193,1.552
cd,6.14,2194,1.3554
cheek,6.14,2195,1.5909
combination,6.14,2196,1.143
conscious,6.14,2197,1.3852
cricket,6.14,2198,1.6164
debut,6.14,2199,1.2618
dividends,6.14,2200,1.552
drinking,6.14,2201,1.7144
elizabeth,6.14,2202,1.7263
eye,6.14,2203,1.4287
generate,6.14,2204,1.1608
granted,6.14,2205,1.8071
guests,6.14,2206,1.3852
huge,6.14,2207,1.7025
jumping,6.14,2208,1.578
kindle,6.14,2209,1.2456
launches,6.14,2210,1.125
mend,6.14,2211,1.2124
models,6.14,2212,1.578
mutual,6.14,2213,1.1068
offered,6.14,2214,1.3999
places,6.14,2215,1.1608
plan,6.14,2216,1.2779
principles,6.14,2217,1.3999
recovering,6.14,2218,1.3095
respectively,6.14,2219,1.2124
restore,6.14,2220,1.1608
ride,6.14,2221,1.3852
rock,6.14,2222,1.2938
shirts,6.14,2223,1.0304
sony,6.14,2224,1.3554
strategies,6.14,2225,1.4429
strongly,6.14,2226,1.2779
temple,6.14,2227,1.4144
thousands,6.14,2228,1.0692
tonight,6.14,2229,1.3403
trail,6.14,2230,1.143
twin,6.14,2231,1.2938
up,6.14,2232,1.5254
updates,6.14,2233,1.2124
vagina,6.14,2234,1.8071
yahoo,6.14,2235,1.738
receives,6.13,2236,1.4237
exclusively,6.12,2237,1.4385
writings,6.12,2238,1.6964
destiny,6.12,2239,1.4525
outcomes,6.12,2240,1.4381
quicker,6.12,2241,1.1481
boulevard,6.12,2242,1.2558
chapels,6.12,2243,1.3192
consideration,6.12,2244,1.272
digital,6.12,2245,1.4234
dish,6.12,2246,1.409
eat-in,6.12,2247,1.1542
ensure,6.12,2248,1.3649
event,6.12,2249,1.6492
everyone,6.12,2250,1.2229
face,6.12,2251,1.1718
focus,6.12,2252,1.0622
funds,6.12,2253,1.8254
garlic,6.12,2254,1.6616
investing,6.12,2255,1.5471
keyboard,6.12,2256,1.3944
knows,6.12,2257,0.8953
leaf,6.12,2258,1.3944
males,6.12,2259,1.4658
maps,6.12,2260,1.1542
masters,6.12,2261,1.3346
networking,6.12,2262,1.2558
nursing,6.12,2263,1.4658
patiently,6.12,2264,1.507
proceeded,6.12,2265,1.3346
proceeding,6.12,2266,1.3944
profession,6.12,2267,1.1183
robot,6.12,2268,1.3192
snowing,6.12,2269,2.1631
studied,6.12,2270,1.3037
study,6.12,2271,1.6243
theme,6.12,2272,1.1718
toward,6.12,2273,1.1364
traditional,6.12,2274,1.698
treasurer,6.12,2275,1.5205
university's,6.12,2276,1.4518
v-day,6.12,2277,1.507
very,6.12,2278,1.8913
voted,6.12,2279,1.2558
wii,6.12,2280,1.599
waving,6.11,2281,1.4481
extending,6.1,2282,1.2588
readily,6.1,2283,1.4475
mirrors,6.1,2284,1.3423
nearer,6.1,2285,1.1769
nurses,6.1,2286,1.9175
preserved,6.1,2287,1.403
senses,6.1,2288,1.4895
aah,6.1,2289,1.5811
acknowledged,6.1,2290,1.4321
beers,6.1,2291,2.2246
bentley,6.1,2292,1.6933
brazil,6.1,2293,1.359
cattle,6.1,2294,1.3887
challenging,6.1,2295,1.5419
check,6.1,2296,1.5286
chili,6.1,2297,1.8544
citizens,6.1,2298,1.5152
collection,6.1,2299,1.0738
comprehend,6.1,2300,1.594
customers,6.1,2301,1.0926
elected,6.1,2302,1.4178
electricity,6.1,2303,1.6194
enters,6.1,2304,1.2817
essence,6.1,2305,1.1473
fab,6.1,2306,1.5152
forthcoming,6.1,2307,1.0738
forward,6.1,2308,0.8391
guide,6.1,2309,1.165
herself,6.1,2310,1.1112
increasingly,6.1,2311,1.3439
info,6.1,2312,1.2657
investments,6.1,2313,1.669
justification,6.1,2314,1.3439
karaoke,6.1,2315,1.9086
keeping,6.1,2316,1.1112
know,6.1,2317,1.3887
launched,6.1,2318,1.0351
life's,6.1,2319,1.3887
madame,6.1,2320,1.632
markets,6.1,2321,1.165
moments,6.1,2322,1.1112
nike,6.1,2323,1.3887
november,6.1,2324,1.3439
open,6.1,2325,1.359
oscar,6.1,2326,1.7757
owner,6.1,2327,1.5419
practically,6.1,2328,1.233
precise,6.1,2329,1.5551
release,6.1,2330,1.233
romans,6.1,2331,1.2657
security,6.1,2332,1.632
shade,6.1,2333,1.6812
shoulders,6.1,2334,1.2164
soap,6.1,2335,1.0738
springfield,6.1,2336,1.2495
start,6.1,2337,1.5419
telecommunications,6.1,2338,1.7053
tomorrow's,6.1,2339,1.165
trinity,6.1,2340,1.488
western,6.1,2341,1.359
window,6.1,2342,1.4463
woof,6.1,2343,1.6444
yay,6.1,2344,1.9717
roam,6.09,2345,1.3646
dawning,6.08,2346,1.4415
choir,6.08,2347,1.8009
crops,6.08,2348,1.6052
elvis,6.08,2349,1.9878
significance,6.08,2350,1.2721
throne,6.08,2351,2.1099
velocity,6.08,2352,1.0376
acquainted,6.08,2353,1.5497
ahead,6.08,2354,1.3679
alright,6.08,2355,1.3068
audiences,6.08,2356,1.0467
ball,6.08,2357,1.2262
belief,6.08,2358,1.4405
bff,6.08,2359,1.6015
boat,6.08,2360,1.4824
boots,6.08,2361,1.3679
california,6.08,2362,1.5097
centuries,6.08,2363,1.3377
cheaper,6.08,2364,1.7594
clue,6.08,2365,1.1753
coat,6.08,2366,1.2428
consensus,6.08,2367,1.1753
contact,6.08,2368,0.9864
deserved,6.08,2369,1.4961
drive,6.08,2370,1.5232
facebook,6.08,2371,1.9361
freelance,6.08,2372,1.4405
greek,6.08,2373,1.2591
grown,6.08,2374,1.2428
help,6.08,2375,1.4686
housing,6.08,2376,1.4405
instant,6.08,2377,1.122
integrated,6.08,2378,1.3068
introduction,6.08,2379,1.0069
legit,6.08,2380,1.1753
ma,6.08,2381,2.0488
message,6.08,2382,1.122
negotiate,6.08,2383,1.2752
neighbor,6.08,2384,1.3827
neighborhoods,6.08,2385,1.4686
numerous,6.08,2386,1.1925
our,6.08,2387,1.066
oven,6.08,2388,1.3679
picked,6.08,2389,1.2095
reached,6.08,2390,1.2591
recognize,6.08,2391,1.4119
recognized,6.08,2392,1.3068
rider,6.08,2393,1.4263
shows,6.08,2394,1.0467
significantly,6.08,2395,0.9655
specialist,6.08,2396,1.5365
suggestions,6.08,2397,1.14
superior,6.08,2398,1.5232
tempo,6.08,2399,1.3068
tourists,6.08,2400,1.5097
ups,6.08,2401,1.6517
validity,6.08,2402,1.1578
vehicle,6.08,2403,1.4546
votes,6.08,2404,1.5758
theories,6.06,2405,1.4507
associations,6.06,2406,1.5733
attachment,6.06,2407,1.5194
fluid,6.06,2408,1.2317
shells,6.06,2409,1.5057
1970s,6.06,2410,1.4486
adults,6.06,2411,1.3001
advocacy,6.06,2412,1.2521
bella,6.06,2413,1.2191
brazilian,6.06,2414,1.4486
bueno,6.06,2415,1.5572
certain,6.06,2416,1.4626
certainly,6.06,2417,1.3463
combinations,6.06,2418,1.2357
composed,6.06,2419,1.2521
composition,6.06,2420,1.1851
couch,6.06,2421,1.2022
created,6.06,2422,1.6088
creek,6.06,2423,1.4902
dimes,6.06,2424,1.2191
distinct,6.06,2425,1.2357
equal,6.06,2426,1.9526
facts,6.06,2427,1.0956
flight,6.06,2428,1.834
gaze,6.06,2429,1.4902
goodman,6.06,2430,1.1323
harbor,6.06,2431,1.4486
hey,6.06,2432,1.634
historian,6.06,2433,1.4626
host,6.06,2434,1.3614
icon,6.06,2435,1.2683
influences,6.06,2436,1.2191
instruments,6.06,2437,1.7072
landmark,6.06,2438,1.0184
large,6.06,2439,1.2683
latest,6.06,2440,1.3614
leads,6.06,2441,1.0956
legs,6.06,2442,1.3001
liverpool,6.06,2443,1.5572
magazines,6.06,2444,1.4486
membership,6.06,2445,1.0184
muscle,6.06,2446,1.3311
nation,6.06,2447,1.5039
outlets,6.06,2448,1.0382
overseas,6.06,2449,1.5308
peanut,6.06,2450,1.3311
personal,6.06,2451,1.2191
photoshop,6.06,2452,1.5308
preparation,6.06,2453,1.3614
quantities,6.06,2454,1.3001
racing,6.06,2455,1.7427
reflection,6.06,2456,1.3911
representation,6.06,2457,1.2843
respective,6.06,2458,1.3157
see,6.06,2459,1.0577
servings,6.06,2460,1.4057
shoes,6.06,2461,1.544
slim,6.06,2462,1.4902
sports,6.06,2463,2.2352
starring,6.06,2464,1.3001
straight,6.06,2465,1.0577
talk,6.06,2466,1.0577
towns,6.06,2467,1.1502
updated,6.06,2468,1.2357
wood,6.06,2469,1.2521
solving,6.04,2470,1.7377
bridges,6.04,2471,1.5133
climbing,6.04,2472,1.3838
geographical,6.04,2473,1.4572
skirt,6.04,2474,2.0712
1960s,6.04,2475,1.7492
academy,6.04,2476,1.3395
accompanying,6.04,2477,1.4422
acquired,6.04,2478,1.5113
acting,6.04,2479,1.5113
alumni,6.04,2480,1.0294
america's,6.04,2481,1.4563
approaches,6.04,2482,1.3087
bass,6.04,2483,1.6898
beginning,6.04,2484,1.1599
bringing,6.04,2485,1.1421
campus,6.04,2486,1.6157
casino,6.04,2487,2.04
choices,6.04,2488,1.4422
contributed,6.04,2489,1.2115
exact,6.04,2490,1.2282
expand,6.04,2491,1.1421
express,6.04,2492,0.9026
fave,6.04,2493,1.4702
feliz,6.04,2494,1.4841
folks,6.04,2495,1.3547
fund,6.04,2496,1.1241
furniture,6.04,2497,1.1599
groove,6.04,2498,1.2115
hair,6.04,2499,1.3991
hint,6.04,2500,1.5903
installed,6.04,2501,1.0294
interactive,6.04,2502,1.3845
kitchen,6.04,2503,1.6898
melbourne,6.04,2504,1.428
mind,6.04,2505,1.2771
numbers,6.04,2506,1.1421
perspective,6.04,2507,1.0294
points,6.04,2508,1.4702
prevention,6.04,2509,1.2282
professor,6.04,2510,1.4563
prospective,6.04,2511,1.2115
prospects,6.04,2512,1.0683
purple,6.04,2513,1.5248
purpose,6.04,2514,1.1599
replied,6.04,2515,0.9681
sauce,6.04,2516,1.3991
signing,6.04,2517,1.4841
sofa,6.04,2518,1.3547
supplies,6.04,2519,1.3991
tops,6.04,2520,1.0872
transport,6.04,2521,1.293
union,6.04,2522,1.3991
visible,6.04,2523,0.8797
vocal,6.04,2524,1.5513
washington,6.04,2525,1.2115
words,6.04,2526,1.1945
xp,6.04,2527,1.5113
carriage,6.02,2528,1.2289
beings,6.02,2529,1.2498
colored,6.02,2530,1.7379
considerations,6.02,2531,1.4067
nearest,6.02,2532,1.2498
porch,6.02,2533,1.6006
relate,6.02,2534,1.5206
seventeenth,6.02,2535,1.1813
vibe,6.02,2536,1.4789
1980's,6.02,2537,1.7437
acres,6.02,2538,1.3169
aircraft,6.02,2539,1.4068
amen,6.02,2540,1.8789
basket,6.02,2541,1.0784
blog,6.02,2542,1.4068
cards,6.02,2543,1.3013
celebrity,6.02,2544,1.7082
christians,6.02,2545,2.0151
concepts,6.02,2546,1.2856
content,6.02,2547,1.6224
creates,6.02,2548,1.4356
delivery,6.02,2549,1.4356
developing,6.02,2550,1.0971
doll,6.02,2551,1.943
download,6.02,2552,1.3476
eggs,6.02,2553,1.9948
engineers,6.02,2554,1.1337
essential,6.02,2555,0.8919
fixed,6.02,2556,1.0593
float,6.02,2557,1.4068
fridge,6.02,2558,1.1156
fund-raising,6.02,2559,1.7437
inn,6.02,2560,1.237
jam,6.02,2561,2.0252
japanese,6.02,2562,1.5713
male,6.02,2563,1.3626
monetary,6.02,2564,1.3923
native,6.02,2565,1.4068
newspapers,6.02,2566,1.4637
objectives,6.02,2567,1.237
pregnancy,6.02,2568,2.2451
presence,6.02,2569,1.0593
production,6.02,2570,1.2036
programs,6.02,2571,1.6349
pub,6.02,2572,1.6962
quick,6.02,2573,1.6349
rare,6.02,2574,1.7201
records,6.02,2575,1.2856
retire,6.02,2576,1.8012
simple,6.02,2577,1.4637
sophisticated,6.02,2578,1.7553
teams,6.02,2579,1.1692
totally,6.02,2580,1.1156
try,6.02,2581,0.9366
unwind,6.02,2582,1.846
voting,6.02,2583,1.3775
walk,6.02,2584,1.5451
will,6.02,2585,1.3013
windows,6.02,2586,1.3923
wondering,6.02,2587,1.3476
writes,6.02,2588,1.3775
xoxo,6.02,2589,1.7082
rains,6.01,2590,1.8722
1990's,6.0,2591,1.5779
act,6.0,2592,1.2936
adapted,6.0,2593,1.4142
alliance,6.0,2594,1.6537
allow,6.0,2595,1.4708
applicable,6.0,2596,1.0302
archives,6.0,2597,1.4425
attend,6.0,2598,0.9689
attending,6.0,2599,1.1066
automatic,6.0,2600,1.4732
automatically,6.0,2601,1.5584
avatar,6.0,2602,1.6288
beans,6.0,2603,1.6537
beliefs,6.0,2604,1.5138
bien,6.0,2605,1.4428
biggest,6.0,2606,1.3248
brew,6.0,2607,1.633
brook,6.0,2608,1.6413
cambridge,6.0,2609,1.4846
concentrations,6.0,2610,1.2882
conscience,6.0,2611,1.3401
continent,6.0,2612,1.2289
crimson,6.0,2613,1.5138
eighteenth,6.0,2614,1.4142
exactly,6.0,2615,1.7143
extend,6.0,2616,0.9035
favor,6.0,2617,2.0603
finale,6.0,2618,1.6162
find,6.0,2619,1.5779
fireplace,6.0,2620,1.8844
fixing,6.0,2621,1.069
glance,6.0,2622,1.178
global,6.0,2623,1.4846
ha,6.0,2624,1.5649
hands,6.0,2625,1.4846
heating,6.0,2626,1.5779
indeed,6.0,2627,1.1952
integral,6.0,2628,1.3093
itunes,6.0,2629,1.8952
japan,6.0,2630,1.3093
jenny,6.0,2631,1.6811
king's,6.0,2632,1.8626
lawn,6.0,2633,1.2289
lighting,6.0,2634,1.4428
likewise,6.0,2635,1.2454
lmfao,6.0,2636,2.1285
make,6.0,2637,0.9897
meaning,6.0,2638,1.0498
mega,6.0,2639,1.6413
metals,6.0,2640,1.354
mucho,6.0,2641,1.2617
nations,6.0,2642,1.5518
network,6.0,2643,1.2778
olive,6.0,2644,1.1429
opened,6.0,2645,1.2289
oregon,6.0,2646,1.178
owns,6.0,2647,1.2936
participants,6.0,2648,1.0302
pilot,6.0,2649,1.069
principle,6.0,2650,1.4846
religion,6.0,2651,1.8295
result,6.0,2652,1.1606
service,6.0,2653,1.1606
sights,6.0,2654,1.4983
sites,6.0,2655,1.1606
sponsor,6.0,2656,1.4142
started,6.0,2657,1.069
stereo,6.0,2658,1.2936
stores,6.0,2659,0.9689
successor,6.0,2660,1.4428
survive,6.0,2661,1.7957
surviving,6.0,2662,1.7496
today's,6.0,2663,0.9897
tuned,6.0,2664,0.9689
virgin,6.0,2665,1.5779
vista,6.0,2666,1.3851
walked,6.0,2667,0.9897
2-car,5.98,2668,1.4213
action,5.98,2669,1.4213
afternoon,5.98,2670,1.237
anytime,5.98,2671,1.2534
attempting,5.98,2672,0.9998
audience,5.98,2673,1.4356
august,5.98,2674,1.4356
author,5.98,2675,1.3923
awww,5.98,2676,1.7784
bbc,5.98,2677,1.2534
began,5.98,2678,0.9581
biography,5.98,2679,1.4497
broadcast,5.98,2680,1.2856
canada,5.98,2681,1.5318
communities,5.98,2682,1.3169
contributor,5.98,2683,1.3476
creatures,5.98,2684,1.3775
declaration,5.98,2685,1.2204
dell,5.98,2686,1.4068
dialogue,5.98,2687,1.237
drum,5.98,2688,1.3775
ebook,5.98,2689,1.4356
egg,5.98,2690,1.4356
explained,5.98,2691,1.3169
fabric,5.98,2692,1.0971
father-in-law,5.98,2693,1.8125
feature,5.98,2694,1.1692
ferry,5.98,2695,1.2856
fingertips,5.98,2696,1.1337
flash,5.98,2697,1.0398
flights,5.98,2698,1.8897
folk,5.98,2699,1.4356
gathered,5.98,2700,1.3169
grammys,5.98,2701,1.4497
heh,5.98,2702,1.2696
hill,5.98,2703,1.3923
http,5.98,2704,1.2534
identity,5.98,2705,1.1156
informal,5.98,2706,1.4497
ireland,5.98,2707,1.3626
java,5.98,2708,1.5583
july,5.98,2709,1.6962
keys,5.98,2710,1.2036
lego,5.98,2711,1.2696
lessons,5.98,2712,1.3775
looks,5.98,2713,1.3775
macbook,5.98,2714,1.5185
mcdonalds,5.98,2715,2.3342
meets,5.98,2716,1.0971
messages,5.98,2717,0.9366
national,5.98,2718,1.1516
netherlands,5.98,2719,1.3323
nintendo,5.98,2720,1.7319
normal,5.98,2721,1.0784
nyc,5.98,2722,1.5842
organization,5.98,2723,1.1337
originally,5.98,2724,1.1337
ours,5.98,2725,1.4356
ourselves,5.98,2726,1.3323
pairs,5.98,2727,1.1692
pic,5.98,2728,1.1692
planned,5.98,2729,1.2696
pop,5.98,2730,1.237
prose,5.98,2731,1.505
recordings,5.98,2732,1.237
represented,5.98,2733,1.1692
robin,5.98,2734,1.2204
schools,5.98,2735,1.4356
singapore,5.98,2736,1.7899
sounds,5.98,2737,1.2036
specialized,5.98,2738,1.3323
store,5.98,2739,0.9792
sweater,5.98,2740,1.4776
tonight's,5.98,2741,1.4068
train,5.98,2742,1.4913
triple,5.98,2743,1.1337
wing,5.98,2744,1.1516
faire,5.98,2745,1.5068
lasts,5.98,2746,1.7617
nana,5.98,2747,1.7617
precisely,5.98,2748,1.2827
probable,5.98,2749,1.3306
refer,5.98,2750,1.1085
spoon,5.98,2751,1.5477
similarly,5.98,2752,1.0816
glimpse,5.98,2753,1.1701
souls,5.98,2754,1.713
above,5.96,2755,0.9026
academic,5.96,2756,1.5644
allowed,5.96,2757,1.7375
assistance,5.96,2758,1.428
authorized,5.96,2759,1.5513
bacon,5.96,2760,2.0698
bay,5.96,2761,1.4978
bf,5.96,2762,1.6283
body,5.96,2763,1.0294
collected,5.96,2764,1.1599
convinced,5.96,2765,0.9681
destined,5.96,2766,1.4563
discuss,5.96,2767,1.2282
driven,5.96,2768,1.2771
everyone's,5.96,2769,1.261
everything,5.96,2770,1.293
fav,5.96,2771,1.9479
features,5.96,2772,1.2115
flickr,5.96,2773,1.1945
french,5.96,2774,1.5381
gig,5.96,2775,1.3991
gracias,5.96,2776,1.5381
gym,5.96,2777,1.5113
head,5.96,2778,1.0683
heels,5.96,2779,1.1241
hundreds,5.96,2780,1.6655
including,5.96,2781,0.9026
islanders,5.96,2782,1.293
jeep,5.96,2783,1.7375
job,5.96,2784,1.7257
largely,5.96,2785,1.0294
made,5.96,2786,1.0683
mambo,5.96,2787,1.7257
match,5.96,2788,0.9889
memoir,5.96,2789,1.2447
mighty,5.96,2790,1.3087
mmmmm,5.96,2791,1.8622
net,5.96,2792,1.0294
netflix,5.96,2793,1.8731
players,5.96,2794,1.6157
potentially,5.96,2795,1.5113
presently,5.96,2796,1.261
proof,5.96,2797,1.0683
reaches,5.96,2798,1.3696
reflecting,5.96,2799,1.2282
related,5.96,2800,1.261
releases,5.96,2801,1.4702
reveal,5.96,2802,1.3547
reveals,5.96,2803,1.4702
rocks,5.96,2804,1.4841
roommate,5.96,2805,1.5513
season,5.96,2806,1.1421
selection,5.96,2807,1.293
ship,5.96,2808,1.2282
ships,5.96,2809,1.0093
similar,5.96,2810,1.0872
space,5.96,2811,1.0093
stadium,5.96,2812,1.5774
starts,5.96,2813,1.1945
taught,5.96,2814,1.4563
world's,5.96,2815,1.3395
writer,5.96,2816,1.5381
yep,5.96,2817,1.6655
justify,5.96,2818,1.3379
pupil,5.96,2819,1.3838
spreading,5.96,2820,1.3064
wales,5.96,2821,1.4994
whoo,5.96,2822,1.6951
deeds,5.96,2823,1.3202
exhibit,5.96,2824,1.2541
fiddle,5.96,2825,1.7254
exceed,5.96,2826,1.5174
3d,5.94,2827,1.6088
alternative,5.94,2828,1.3911
approach,5.94,2829,1.1678
awe,5.94,2830,2.0938
ballet,5.94,2831,1.5832
begins,5.94,2832,1.1502
building,5.94,2833,1.1141
business,5.94,2834,1.4626
carpet,5.94,2835,1.1502
chick,5.94,2836,1.6464
choose,5.94,2837,1.1851
consent,5.94,2838,1.2191
continental,5.94,2839,1.1141
correspondence,5.94,2840,1.3157
custom,5.94,2841,0.9127
decided,5.94,2842,1.3911
diary,5.94,2843,1.1502
echo,5.94,2844,1.2357
elevation,5.94,2845,1.5174
european,5.94,2846,1.1678
exports,5.94,2847,1.2191
finds,5.94,2848,1.2521
forum,5.94,2849,1.2521
framework,5.94,2850,1.0577
frank,5.94,2851,1.3001
gather,5.94,2852,1.0768
germany,5.94,2853,1.5703
image,5.94,2854,1.6587
impression,5.94,2855,1.0768
include,5.94,2856,1.2022
inherent,5.94,2857,1.3763
intention,5.94,2858,1.2843
investor,5.94,2859,1.3001
jet,5.94,2860,1.634
joyce,5.94,2861,1.5174
kings,5.94,2862,1.5308
knew,5.94,2863,1.3001
larger,5.94,2864,1.5308
letter,5.94,2865,1.0956
listen,5.94,2866,1.4344
looking,5.94,2867,0.9775
mba,5.94,2868,1.834
member,5.94,2869,1.1141
men,5.94,2870,1.3911
movement,5.94,2871,0.9348
nation's,5.94,2872,1.544
obama,5.94,2873,2.161
ok,5.94,2874,1.731
oooh,5.94,2875,1.7192
option,5.94,2876,1.3911
phoenix,5.94,2877,1.6088
player,5.94,2878,1.6214
portfolio,5.94,2879,1.4344
preparations,5.94,2880,1.4057
presidential,5.94,2881,1.5174
prom,5.94,2882,1.3763
proper,5.94,2883,1.3911
pulse,5.94,2884,1.3311
reality,5.94,2885,1.6464
regularly,5.94,2886,0.8668
reservations,5.94,2887,1.4626
salmon,5.94,2888,1.7072
scene,5.94,2889,1.3311
societies,5.94,2890,1.3614
submitted,5.94,2891,1.3001
substantial,5.94,2892,1.0956
swift,5.94,2893,1.2683
technique,5.94,2894,0.9982
thnx,5.94,2895,1.6088
thx,5.94,2896,1.5174
tide,5.94,2897,1.2357
trends,5.94,2898,1.2843
visual,5.94,2899,1.6832
wallet,5.94,2900,1.0577
wear,5.94,2901,1.3911
formation,5.94,2902,1.2521
